ID,State,State Abbreviation,Region,Year,Gender,EducationLevelofMother,EducationLevel,NumberOfBirths,AverageAgeOfMother ,AverageBirthWeight ,LowBirthWeight
2936,Nebraska,NE,Midwest,2017,M,Some college credit,4,2867,27.2,3349.7,No
2937,Nebraska,NE,Midwest,2017,M,Associate degree,5,1400,29.6,3424.8,No
2938,Nebraska,NE,Midwest,2017,M,Bachelor's degree,6,3148,30.6,3443.2,No
2939,Nebraska,NE,Midwest,2017,M,Master's degree,7,1222,32,3423.4,No
2940,Nebraska,NE,Midwest,2017,M,Doctorate,8,385,32.4,3395.8,No
2941,Nebraska,NE,Midwest,2018,F,8th grade or less,1,506,29.6,3165.6,No
2942,Nebraska,NE,Midwest,2018,F,9th through 12th grade,2,983,25.2,3159.6,No
2943,Nebraska,NE,Midwest,2018,F,High school graduate,3,2363,26.1,3170.4,No
2944,Nebraska,NE,Midwest,2018,F,Some college credit,4,2552,27.6,3245.6,No
2945,Nebraska,NE,Midwest,2018,F,Associate degree,5,1298,29.9,3256.2,No
2946,Nebraska,NE,Midwest,2018,F,Bachelor's degree,6,3113,30.7,3310.2,No
2947,Nebraska,NE,Midwest,2018,F,Master's degree,7,1209,32.1,3339,No
2948,Nebraska,NE,Midwest,2018,F,Doctorate,8,391,32.9,3321.7,No
2949,Nebraska,NE,Midwest,2018,F,Not Stated,9,18,28.6,2509.1,Yes
2950,Nebraska,NE,Midwest,2018,M,8th grade or less,1,532,30.2,3254.8,No
2951,Nebraska,NE,Midwest,2018,M,9th through 12th grade,2,982,25.8,3254.2,No
2952,Nebraska,NE,Midwest,2018,M,High school graduate,3,2527,26.2,3288.6,No
2953,Nebraska,NE,Midwest,2018,M,Some college credit,4,2742,27.4,3353.8,No
2954,Nebraska,NE,Midwest,2018,M,Associate degree,5,1376,29.7,3384,No
2955,Nebraska,NE,Midwest,2018,M,Bachelor's degree,6,3204,30.6,3450.5,No
2956,Nebraska,NE,Midwest,2018,M,Master's degree,7,1272,32,3471.2,No
2957,Nebraska,NE,Midwest,2018,M,Doctorate,8,408,33.2,3408.5,No
2958,Nebraska,NE,Midwest,2018,M,Not Stated,9,12,34.6,3174.2,No
2959,Nebraska,NE,Midwest,2019,F,8th grade or less,1,542,29.4,3178.3,No
2960,Nebraska,NE,Midwest,2019,F,9th through 12th grade,2,852,25,3097.4,Yes
2961,Nebraska,NE,Midwest,2019,F,High school graduate,3,2362,26.2,3184.8,No
2962,Nebraska,NE,Midwest,2019,F,Some college credit,4,2523,27.7,3225.6,No
2963,Nebraska,NE,Midwest,2019,F,Associate degree,5,1205,29.7,3216.9,No
2964,Nebraska,NE,Midwest,2019,F,Bachelor's degree,6,2990,30.7,3311.4,No
2965,Nebraska,NE,Midwest,2019,F,Master's degree,7,1252,32.2,3305.2,No
2966,Nebraska,NE,Midwest,2019,F,Doctorate,8,386,32.8,3284.9,No
2967,Nebraska,NE,Midwest,2019,F,Not Stated,9,15,27.6,2905.7,Yes
2968,Nebraska,NE,Midwest,2019,M,8th grade or less,1,589,30.3,3331.6,No
2969,Nebraska,NE,Midwest,2019,M,9th through 12th grade,2,887,25.1,3252.5,No
2970,Nebraska,NE,Midwest,2019,M,High school graduate,3,2511,26.3,3297.6,No
2971,Nebraska,NE,Midwest,2019,M,Some college credit,4,2644,27.6,3346.4,No
2972,Nebraska,NE,Midwest,2019,M,Associate degree,5,1263,30,3376,No
2973,Nebraska,NE,Midwest,2019,M,Bachelor's degree,6,3116,30.7,3415.4,No
2974,Nebraska,NE,Midwest,2019,M,Master's degree,7,1207,32.1,3409.8,No
2975,Nebraska,NE,Midwest,2019,M,Doctorate,8,393,32.8,3405.9,No
2976,Nebraska,NE,Midwest,2019,M,Not Stated,9,18,29.3,3055.4,Yes
2977,Nebraska,NE,Midwest,2020,F,8th grade or less,1,542,29.9,3139.9,No
2978,Nebraska,NE,Midwest,2020,F,9th through 12th grade,2,864,25.4,3130.2,No
2979,Nebraska,NE,Midwest,2020,F,High school graduate,3,2313,26.3,3176.2,No
2980,Nebraska,NE,Midwest,2020,F,Some college credit,4,2408,27.9,3232.6,No
2981,Nebraska,NE,Midwest,2020,F,Associate degree,5,1157,30.2,3250.5,No
2982,Nebraska,NE,Midwest,2020,F,Bachelor's degree,6,3018,30.7,3324.3,No
2983,Nebraska,NE,Midwest,2020,F,Master's degree,7,1223,32.1,3312.2,No
2984,Nebraska,NE,Midwest,2020,F,Doctorate,8,395,32.6,3293.5,No
2985,Nebraska,NE,Midwest,2020,F,Not Stated,9,19,29.6,3273.7,No
2986,Nebraska,NE,Midwest,2020,M,8th grade or less,1,556,29.6,3295,No
2987,Nebraska,NE,Midwest,2020,M,9th through 12th grade,2,870,25.7,3242.5,No
2988,Nebraska,NE,Midwest,2020,M,High school graduate,3,2494,26.4,3291,No
2989,Nebraska,NE,Midwest,2020,M,Some college credit,4,2444,27.8,3338.2,No
2990,Nebraska,NE,Midwest,2020,M,Associate degree,5,1249,30,3379.9,No
2991,Nebraska,NE,Midwest,2020,M,Bachelor's degree,6,3102,30.6,3422.8,No
2992,Nebraska,NE,Midwest,2020,M,Master's degree,7,1214,32.2,3408.4,No
2993,Nebraska,NE,Midwest,2020,M,Doctorate,8,410,33.2,3430.9,No
2994,Nebraska,NE,Midwest,2020,M,Not Stated,9,13,30.2,3446.2,No
2995,Nebraska,NE,Midwest,2021,F,8th grade or less,1,524,30.3,3205.2,No
2996,Nebraska,NE,Midwest,2021,F,9th through 12th grade,2,812,24.6,3106.2,No
2997,Nebraska,NE,Midwest,2021,F,High school graduate,3,2382,26.5,3170.5,No
2998,Nebraska,NE,Midwest,2021,F,Some college credit,4,2376,28.1,3225.4,No
2999,Nebraska,NE,Midwest,2021,F,Associate degree,5,1166,30.1,3290.2,No
3000,Nebraska,NE,Midwest,2021,F,Bachelor's degree,6,3096,30.6,3298.8,No
3001,Nebraska,NE,Midwest,2021,F,Master's degree,7,1225,32.1,3307.5,No
3002,Nebraska,NE,Midwest,2021,F,Doctorate,8,402,33,3267.4,No
3003,Nebraska,NE,Midwest,2021,F,Not Stated,9,15,32.9,3078.8,Yes
3004,Nebraska,NE,Midwest,2021,M,8th grade or less,1,526,30.3,3273.2,No
3005,Nebraska,NE,Midwest,2021,M,9th through 12th grade,2,849,25.4,3210.9,No
3006,Nebraska,NE,Midwest,2021,M,High school graduate,3,2460,26.5,3276.1,No
3007,Nebraska,NE,Midwest,2021,M,Some college credit,4,2503,27.8,3316,No
3008,Nebraska,NE,Midwest,2021,M,Associate degree,5,1270,29.9,3360.3,No
3009,Nebraska,NE,Midwest,2021,M,Bachelor's degree,6,3200,30.8,3436.4,No
3010,Nebraska,NE,Midwest,2021,M,Master's degree,7,1370,31.8,3439.3,No
3011,Nebraska,NE,Midwest,2021,M,Doctorate,8,416,32.9,3366.3,No
3012,Nebraska,NE,Midwest,2021,M,Not Stated,9,17,32.9,3349.2,No
3013,Nevada,NV,Midwest,2016,F,8th grade or less,1,415,30.7,3213.6,No
3014,Nevada,NV,West,2016,F,9th through 12th grade,2,2797,25.7,3141.1,No
3015,Nevada,NV,West,2016,F,High school graduate,3,5489,26.7,3153,No
3016,Nevada,NV,West,2016,F,Some college credit,4,3888,28.2,3195.3,No
3017,Nevada,NV,West,2016,F,Associate degree,5,1275,30.1,3178.4,No
3018,Nevada,NV,West,2016,F,Bachelor's degree,6,2470,31.7,3216.5,No
3019,Nevada,NV,West,2016,F,Master's degree,7,779,33,3205.5,No
3020,Nevada,NV,West,2016,F,Doctorate,8,234,34.4,3244.4,No
3021,Nevada,NV,West,2016,F,Not Stated,9,431,28.5,3086.6,Yes
3022,Nevada,NV,West,2016,M,8th grade or less,1,468,30.6,3296.9,No
3023,Nevada,NV,West,2016,M,9th through 12th grade,2,2858,26.1,3228.8,No
3024,Nevada,NV,West,2016,M,High school graduate,3,5550,26.8,3245.9,No
3025,Nevada,NV,West,2016,M,Some college credit,4,4156,28.5,3298,No
3026,Nevada,NV,West,2016,M,Associate degree,5,1379,30.1,3312.3,No
3027,Nevada,NV,West,2016,M,Bachelor's degree,6,2542,31.5,3307,No
3028,Nevada,NV,West,2016,M,Master's degree,7,860,33.1,3326.3,No
3029,Nevada,NV,West,2016,M,Doctorate,8,251,34,3264.8,No
3030,Nevada,NV,West,2016,M,Not Stated,9,418,28.4,3137.5,No
3031,Nevada,NV,West,2017,F,8th grade or less,1,427,30.9,3210.3,No
3032,Nevada,NV,West,2017,F,9th through 12th grade,2,2557,25.9,3134.1,No
3033,Nevada,NV,West,2017,F,High school graduate,3,5501,26.9,3136.8,No
3034,Nevada,NV,West,2017,F,Some college credit,4,3815,28.6,3168.5,No
3035,Nevada,NV,West,2017,F,Associate degree,5,1295,30.3,3190.1,No
3036,Nevada,NV,West,2017,F,Bachelor's degree,6,2391,31.7,3230.2,No
3037,Nevada,NV,West,2017,F,Master's degree,7,771,33,3191.8,No
3038,Nevada,NV,West,2017,F,Doctorate,8,234,34.1,3181.6,No
3039,Nevada,NV,West,2017,F,Not Stated,9,488,28.4,3012.3,Yes
3040,Nevada,NV,West,2017,M,8th grade or less,1,431,31.2,3252.5,No
3041,Nevada,NV,West,2017,M,9th through 12th grade,2,2620,26.1,3222.2,No
3042,Nevada,NV,West,2017,M,High school graduate,3,5789,26.8,3232.2,No
3043,Nevada,NV,West,2017,M,Some college credit,4,3984,28.5,3275.7,No
3044,Nevada,NV,West,2017,M,Associate degree,5,1369,30,3269.4,No
3045,Nevada,NV,West,2017,M,Bachelor's degree,6,2458,31.6,3313.3,No
3046,Nevada,NV,West,2017,M,Master's degree,7,830,33.1,3349.2,No
3047,Nevada,NV,West,2017,M,Doctorate,8,245,34.1,3190,No
3048,Nevada,NV,West,2017,M,Not Stated,9,551,28.5,3149.9,No
3049,Nevada,NV,West,2018,F,8th grade or less,1,416,31.4,3165.3,No
3050,Nevada,NV,West,2018,F,9th through 12th grade,2,2366,26.3,3141.2,No
3051,Nevada,NV,West,2018,F,High school graduate,3,5661,26.9,3154.3,No
3052,Nevada,NV,West,2018,F,Some college credit,4,3712,28.7,3192.1,No
3053,Nevada,NV,West,2018,F,Associate degree,5,1258,30.4,3163.7,No
3054,Nevada,NV,West,2018,F,Bachelor's degree,6,2507,31.8,3224.7,No
3055,Nevada,NV,West,2018,F,Master's degree,7,839,33.3,3207.2,No
3056,Nevada,NV,West,2018,F,Doctorate,8,242,34.4,3205.3,No
3057,Nevada,NV,West,2018,F,Not Stated,9,369,28.7,3099.7,Yes
3058,Nevada,NV,West,2018,M,8th grade or less,1,413,31.4,3273.1,No
3059,Nevada,NV,West,2018,M,9th through 12th grade,2,2460,26.2,3217.6,No
3060,Nevada,NV,West,2018,M,High school graduate,3,6038,27,3242.3,No
3061,Nevada,NV,West,2018,M,Some college credit,4,3945,28.6,3275.6,No
3062,Nevada,NV,West,2018,M,Associate degree,5,1340,30.2,3291.3,No
3063,Nevada,NV,West,2018,M,Bachelor's degree,6,2589,31.8,3329.6,No
3064,Nevada,NV,West,2018,M,Master's degree,7,870,33.1,3358.4,No
3065,Nevada,NV,West,2018,M,Doctorate,8,283,34.4,3247.7,No
3066,Nevada,NV,West,2018,M,Not Stated,9,374,29.1,3180.7,No
3067,Nevada,NV,West,2019,F,8th grade or less,1,386,31.5,3194.4,No
3068,Nevada,NV,West,2019,F,9th through 12th grade,2,2203,26.5,3108.2,No
3069,Nevada,NV,West,2019,F,High school graduate,3,5414,27.1,3135.4,No
3070,Nevada,NV,West,2019,F,Some college credit,4,3600,28.9,3179.4,No
3071,Nevada,NV,West,2019,F,Associate degree,5,1275,30.5,3171.4,No
3072,Nevada,NV,West,2019,F,Bachelor's degree,6,2469,31.9,3195.2,No
3073,Nevada,NV,West,2019,F,Master's degree,7,830,33.3,3217.8,No
3074,Nevada,NV,West,2019,F,Doctorate,8,253,34.5,3186.4,No
3075,Nevada,NV,West,2019,F,Not Stated,9,522,28,3078.8,Yes
3076,Nevada,NV,West,2019,M,8th grade or less,1,394,31.2,3264.7,No
3077,Nevada,NV,West,2019,M,9th through 12th grade,2,2301,26.4,3217.5,No
3078,Nevada,NV,West,2019,M,High school graduate,3,5854,27,3245.3,No
3079,Nevada,NV,West,2019,M,Some college credit,4,3817,28.9,3252.7,No
3080,Nevada,NV,West,2019,M,Associate degree,5,1386,30.3,3272.6,No
3081,Nevada,NV,West,2019,M,Bachelor's degree,6,2601,31.7,3315.2,No
3082,Nevada,NV,West,2019,M,Master's degree,7,890,33.1,3331.8,No
3083,Nevada,NV,West,2019,M,Doctorate,8,276,33.8,3234.7,No
3084,Nevada,NV,West,2019,M,Not Stated,9,601,28.4,3173.7,No
3085,Nevada,NV,West,2020,F,8th grade or less,1,293,31.6,3155.4,No
3086,Nevada,NV,West,2020,F,9th through 12th grade,2,2027,27,3123.8,No
3087,Nevada,NV,West,2020,F,High school graduate,3,5423,27,3136.8,No
3088,Nevada,NV,West,2020,F,Some college credit,4,3384,29.1,3156.7,No
3089,Nevada,NV,West,2020,F,Associate degree,5,1278,30.4,3178.2,No
3090,Nevada,NV,West,2020,F,Bachelor's degree,6,2425,31.9,3202.2,No
3091,Nevada,NV,West,2020,F,Master's degree,7,811,33.6,3207.3,No
3092,Nevada,NV,West,2020,F,Doctorate,8,252,34.1,3201.7,No
3093,Nevada,NV,West,2020,F,Not Stated,9,510,28.9,3070.3,Yes
3094,Nevada,NV,West,2020,M,8th grade or less,1,316,30.9,3271.6,No
3095,Nevada,NV,West,2020,M,9th through 12th grade,2,2052,26.4,3207,No
3096,Nevada,NV,West,2020,M,High school graduate,3,5528,27.2,3228.4,No
3097,Nevada,NV,West,2020,M,Some college credit,4,3656,28.8,3262.1,No
3098,Nevada,NV,West,2020,M,Associate degree,5,1320,30.4,3267.1,No
3099,Nevada,NV,West,2020,M,Bachelor's degree,6,2685,31.8,3322.1,No
3100,Nevada,NV,West,2020,M,Master's degree,7,869,33.4,3322.4,No
3101,Nevada,NV,West,2020,M,Doctorate,8,270,34.5,3284.3,No
3102,Nevada,NV,West,2020,M,Not Stated,9,554,28.6,3206.8,No
3103,Nevada,NV,West,2021,F,8th grade or less,1,236,31.9,3140,No
3104,Nevada,NV,West,2021,F,9th through 12th grade,2,1858,26.8,3069.3,Yes
3105,Nevada,NV,West,2021,F,High school graduate,3,5481,27.3,3117,No
3106,Nevada,NV,West,2021,F,Some college credit,4,3527,29.2,3146.6,No
3107,Nevada,NV,West,2021,F,Associate degree,5,1219,30.9,3166.2,No
3108,Nevada,NV,West,2021,F,Bachelor's degree,6,2634,31.8,3192,No
3109,Nevada,NV,West,2021,F,Master's degree,7,930,33.4,3209.1,No
3110,Nevada,NV,West,2021,F,Doctorate,8,261,34.2,3130.5,No
3111,Nevada,NV,West,2021,F,Not Stated,9,390,29.1,3091.7,Yes
3112,Nevada,NV,West,2021,M,8th grade or less,1,277,31.5,3300.1,No
3113,Nevada,NV,West,2021,M,9th through 12th grade,2,1964,26.7,3205.1,No
3114,Nevada,NV,West,2021,M,High school graduate,3,5692,27.2,3212.4,No
3115,Nevada,NV,West,2021,M,Some college credit,4,3582,29.2,3259.4,No
3116,Nevada,NV,West,2021,M,Associate degree,5,1318,30.6,3275.8,No
3117,Nevada,NV,West,2021,M,Bachelor's degree,6,2665,31.9,3309.8,No
3118,Nevada,NV,West,2021,M,Master's degree,7,962,33.2,3331.7,No
3119,Nevada,NV,West,2021,M,Doctorate,8,283,34.4,3259.4,No
3120,Nevada,NV,West,2021,M,Not Stated,9,407,28.7,3171.1,No
3121,New Hampshire,NH,Northeast,2016,F,8th grade or less,1,51,30.2,3228.1,No
3122,New Hampshire,NH,Northeast,2016,F,9th through 12th grade,2,313,24.9,3171.9,No
3123,New Hampshire,NH,Northeast,2016,F,High school graduate,3,1242,26.7,3287.8,No
3124,New Hampshire,NH,Northeast,2016,F,Some college credit,4,1248,28.1,3315.8,No
3125,New Hampshire,NH,Northeast,2016,F,Associate degree,5,496,30.5,3352.8,No
3126,New Hampshire,NH,Northeast,2016,F,Bachelor's degree,6,1442,31.4,3342,No
3127,New Hampshire,NH,Northeast,2016,F,Master's degree,7,863,32.6,3345.7,No
3128,New Hampshire,NH,Northeast,2016,F,Doctorate,8,166,33.6,3253.6,No
3129,New Hampshire,NH,Northeast,2016,F,Not Stated,9,34,29.4,3166.1,No
3130,New Hampshire,NH,Northeast,2016,M,8th grade or less,1,35,29,3585.7,No
3131,New Hampshire,NH,Northeast,2016,M,9th through 12th grade,2,343,24.7,3255.7,No
3132,New Hampshire,NH,Northeast,2016,M,High school graduate,3,1373,26.6,3373.1,No
3133,New Hampshire,NH,Northeast,2016,M,Some college credit,4,1305,28.6,3409.1,No
3134,New Hampshire,NH,Northeast,2016,M,Associate degree,5,595,30.2,3434.7,No
3135,New Hampshire,NH,Northeast,2016,M,Bachelor's degree,6,1575,31.6,3446.8,No
3136,New Hampshire,NH,Northeast,2016,M,Master's degree,7,937,32.6,3442.6,No
3137,New Hampshire,NH,Northeast,2016,M,Doctorate,8,210,33.8,3365.8,No
3138,New Hampshire,NH,Northeast,2016,M,Not Stated,9,39,31,3315.4,No
3139,New Hampshire,NH,Northeast,2017,F,8th grade or less,1,44,30.4,3264,No
3140,New Hampshire,NH,Northeast,2017,F,9th through 12th grade,2,290,24.2,3115.1,No
3141,New Hampshire,NH,Northeast,2017,F,High school graduate,3,1258,26.4,3237.9,No
3142,New Hampshire,NH,Northeast,2017,F,Some college credit,4,1166,28.4,3257.6,No
3143,New Hampshire,NH,Northeast,2017,F,Associate degree,5,546,30.6,3280.8,No
3144,New Hampshire,NH,Northeast,2017,F,Bachelor's degree,6,1593,31.3,3329.1,No
3145,New Hampshire,NH,Northeast,2017,F,Master's degree,7,847,32.8,3291.2,No
3146,New Hampshire,NH,Northeast,2017,F,Doctorate,8,198,34.1,3312.6,No
3147,New Hampshire,NH,Northeast,2017,F,Not Stated,9,24,30.4,2872.8,Yes
3148,New Hampshire,NH,Northeast,2017,M,8th grade or less,1,42,28,3192,No
3149,New Hampshire,NH,Northeast,2017,M,9th through 12th grade,2,327,24.8,3265.8,No
3150,New Hampshire,NH,Northeast,2017,M,High school graduate,3,1315,26.8,3374.8,No
3151,New Hampshire,NH,Northeast,2017,M,Some college credit,4,1181,28.4,3404.6,No
3152,New Hampshire,NH,Northeast,2017,M,Associate degree,5,612,30.5,3406,No
3153,New Hampshire,NH,Northeast,2017,M,Bachelor's degree,6,1576,31.4,3459.4,No
3154,New Hampshire,NH,Northeast,2017,M,Master's degree,7,867,32.8,3463.4,No
3155,New Hampshire,NH,Northeast,2017,M,Doctorate,8,194,34.4,3341.6,No
3156,New Hampshire,NH,Northeast,2017,M,Not Stated,9,36,29.4,3128.9,No
3157,New Hampshire,NH,Northeast,2018,F,8th grade or less,1,49,29.4,3257.5,No
3158,New Hampshire,NH,Northeast,2018,F,9th through 12th grade,2,297,25,3116.3,No
3159,New Hampshire,NH,Northeast,2018,F,High school graduate,3,1285,26.8,3238,No
3160,New Hampshire,NH,Northeast,2018,F,Some college credit,4,1149,28.8,3315,No
3161,New Hampshire,NH,Northeast,2018,F,Associate degree,5,515,30.5,3296.2,No
3162,New Hampshire,NH,Northeast,2018,F,Bachelor's degree,6,1547,31.7,3313.2,No
3163,New Hampshire,NH,Northeast,2018,F,Master's degree,7,899,32.8,3361.4,No
3164,New Hampshire,NH,Northeast,2018,F,Doctorate,8,210,34.2,3255.2,No
3165,New Hampshire,NH,Northeast,2018,F,Not Stated,9,27,31.1,3186,No
3166,New Hampshire,NH,Northeast,2018,M,8th grade or less,1,44,28.4,3170.8,No
3167,New Hampshire,NH,Northeast,2018,M,9th through 12th grade,2,267,24.2,3239.1,No
3168,New Hampshire,NH,Northeast,2018,M,High school graduate,3,1229,26.8,3386,No
3169,New Hampshire,NH,Northeast,2018,M,Some college credit,4,1233,28.8,3407.7,No
3170,New Hampshire,NH,Northeast,2018,M,Associate degree,5,567,30.9,3417.5,No
3171,New Hampshire,NH,Northeast,2018,M,Bachelor's degree,6,1579,31.7,3446.9,No
3172,New Hampshire,NH,Northeast,2018,M,Master's degree,7,875,32.6,3453.4,No
3173,New Hampshire,NH,Northeast,2018,M,Doctorate,8,189,34,3389.2,No
3174,New Hampshire,NH,Northeast,2018,M,Not Stated,9,34,30.4,3187.5,No
3175,New Hampshire,NH,Northeast,2019,F,8th grade or less,1,30,30.1,3350.5,No
3176,New Hampshire,NH,Northeast,2019,F,9th through 12th grade,2,264,25.5,3163.3,No
3177,New Hampshire,NH,Northeast,2019,F,High school graduate,3,1148,26.8,3252.4,No
3178,New Hampshire,NH,Northeast,2019,F,Some college credit,4,1096,28.9,3243.5,No
3179,New Hampshire,NH,Northeast,2019,F,Associate degree,5,522,30.7,3304.8,No
3180,New Hampshire,NH,Northeast,2019,F,Bachelor's degree,6,1560,31.7,3340.2,No
3181,New Hampshire,NH,Northeast,2019,F,Master's degree,7,928,32.7,3336.7,No
3182,New Hampshire,NH,Northeast,2019,F,Doctorate,8,179,34.8,3257.6,No
3183,New Hampshire,NH,Northeast,2019,F,Not Stated,9,32,31.6,3402.9,No
3184,New Hampshire,NH,Northeast,2019,M,8th grade or less,1,35,30,3329.7,No
3185,New Hampshire,NH,Northeast,2019,M,9th through 12th grade,2,284,25.2,3250.1,No
3186,New Hampshire,NH,Northeast,2019,M,High school graduate,3,1275,26.8,3355.2,No
3187,New Hampshire,NH,Northeast,2019,M,Some college credit,4,1169,28.8,3402,No
3188,New Hampshire,NH,Northeast,2019,M,Associate degree,5,551,30.7,3418.7,No
3189,New Hampshire,NH,Northeast,2019,M,Bachelor's degree,6,1581,31.6,3467.1,No
3190,New Hampshire,NH,Northeast,2019,M,Master's degree,7,948,33,3475.4,No
3191,New Hampshire,NH,Northeast,2019,M,Doctorate,8,192,34.1,3370.4,No
3192,New Hampshire,NH,Northeast,2019,M,Not Stated,9,45,33.4,3286.7,No
3193,New Hampshire,NH,Northeast,2020,F,8th grade or less,1,31,28.2,3197.6,No
3194,New Hampshire,NH,Northeast,2020,F,9th through 12th grade,2,299,25.6,3158.3,No
3195,New Hampshire,NH,Northeast,2020,F,High school graduate,3,1215,27,3241.4,No
3196,New Hampshire,NH,Northeast,2020,F,Some college credit,4,1038,29.1,3268.1,No
3197,New Hampshire,NH,Northeast,2020,F,Associate degree,5,501,30.5,3311.1,No
3198,New Hampshire,NH,Northeast,2020,F,Bachelor's degree,6,1579,31.8,3324.4,No
3199,New Hampshire,NH,Northeast,2020,F,Master's degree,7,877,32.8,3312.7,No
3200,New Hampshire,NH,Northeast,2020,F,Doctorate,8,203,34.4,3256,No
3201,New Hampshire,NH,Northeast,2020,F,Not Stated,9,25,32,3115.9,No
3202,New Hampshire,NH,Northeast,2020,M,8th grade or less,1,34,30.5,3334.9,No
3203,New Hampshire,NH,Northeast,2020,M,9th through 12th grade,2,262,25.1,3244.3,No
3204,New Hampshire,NH,Northeast,2020,M,High school graduate,3,1248,27.1,3346,No
3205,New Hampshire,NH,Northeast,2020,M,Some college credit,4,1159,29.2,3422.4,No
3206,New Hampshire,NH,Northeast,2020,M,Associate degree,5,528,30.7,3412.2,No
3207,New Hampshire,NH,Northeast,2020,M,Bachelor's degree,6,1602,31.7,3438,No
3208,New Hampshire,NH,Northeast,2020,M,Master's degree,7,951,33.2,3448.5,No
3209,New Hampshire,NH,Northeast,2020,M,Doctorate,8,203,34.2,3377.7,No
3210,New Hampshire,NH,Northeast,2020,M,Not Stated,9,36,30.4,3252.7,No
3211,New Hampshire,NH,Northeast,2021,F,8th grade or less,1,38,29.6,3384.5,No
3212,New Hampshire,NH,Northeast,2021,F,9th through 12th grade,2,262,25.2,3165.6,No
3213,New Hampshire,NH,Northeast,2021,F,High school graduate,3,1203,27.5,3235.2,No
3214,New Hampshire,NH,Northeast,2021,F,Some college credit,4,1070,29.6,3268.2,No
3215,New Hampshire,NH,Northeast,2021,F,Associate degree,5,540,30.8,3316,No
3216,New Hampshire,NH,Northeast,2021,F,Bachelor's degree,6,1726,31.7,3306.4,No
3217,New Hampshire,NH,Northeast,2021,F,Master's degree,7,1027,33.1,3312.1,No
3218,New Hampshire,NH,Northeast,2021,F,Doctorate,8,224,33.8,3302.2,No
3219,New Hampshire,NH,Northeast,2021,F,Not Stated,9,26,32.2,2913.6,Yes
3220,New Hampshire,NH,Northeast,2021,M,8th grade or less,1,34,28.5,3342.4,No
3221,New Hampshire,NH,Northeast,2021,M,9th through 12th grade,2,265,25.7,3269.2,No
3222,New Hampshire,NH,Northeast,2021,M,High school graduate,3,1303,27.6,3341.4,No
3223,New Hampshire,NH,Northeast,2021,M,Some college credit,4,1109,29.4,3391.4,No
3224,New Hampshire,NH,Northeast,2021,M,Associate degree,5,575,31,3414.4,No
3225,New Hampshire,NH,Northeast,2021,M,Bachelor's degree,6,1833,31.8,3456.7,No
3226,New Hampshire,NH,Northeast,2021,M,Master's degree,7,1117,33,3433.4,No
3227,New Hampshire,NH,Northeast,2021,M,Doctorate,8,239,34.4,3432.6,No
3228,New Hampshire,NH,Northeast,2021,M,Not Stated,9,34,29.3,3408.8,No
3229,New Jersey,NJ,Northeast,2016,F,8th grade or less,1,2162,30.2,3236.1,No
3230,New Jersey,NJ,Northeast,2016,F,9th through 12th grade,2,3486,26.3,3149.3,No
3231,New Jersey,NJ,Northeast,2016,F,High school graduate,3,11553,27.9,3172,No
3232,New Jersey,NJ,Northeast,2016,F,Some college credit,4,6776,29,3188.5,No
3233,New Jersey,NJ,Northeast,2016,F,Associate degree,5,3418,30.9,3206,No
3234,New Jersey,NJ,Northeast,2016,F,Bachelor's degree,6,13038,32.2,3224.6,No
3235,New Jersey,NJ,Northeast,2016,F,Master's degree,7,7656,33,3224.7,No
3236,New Jersey,NJ,Northeast,2016,F,Doctorate,8,1737,34.2,3215,No
3237,New Jersey,NJ,Northeast,2016,F,Not Stated,9,255,30.9,3141.1,No
3238,New Jersey,NJ,Northeast,2016,M,8th grade or less,1,2308,30,3304,No
3239,New Jersey,NJ,Northeast,2016,M,9th through 12th grade,2,3602,26.2,3220.9,No
3240,New Jersey,NJ,Northeast,2016,M,High school graduate,3,12119,28,3285.9,No
3241,New Jersey,NJ,Northeast,2016,M,Some college credit,4,7210,29.2,3307.4,No
3242,New Jersey,NJ,Northeast,2016,M,Associate degree,5,3582,30.7,3343.9,No
3243,New Jersey,NJ,Northeast,2016,M,Bachelor's degree,6,13567,32,3346.8,No
3244,New Jersey,NJ,Northeast,2016,M,Master's degree,7,8096,32.9,3346.3,No
3245,New Jersey,NJ,Northeast,2016,M,Doctorate,8,1810,34.2,3333.6,No
3246,New Jersey,NJ,Northeast,2016,M,Not Stated,9,272,30.7,3257.2,No
3247,New Jersey,NJ,Northeast,2017,F,8th grade or less,1,2070,30.2,3226.2,No
3248,New Jersey,NJ,Northeast,2017,F,9th through 12th grade,2,3106,26.6,3128.8,No
3249,New Jersey,NJ,Northeast,2017,F,High school graduate,3,11471,28.1,3169.1,No
3250,New Jersey,NJ,Northeast,2017,F,Some college credit,4,6530,29.2,3183.8,No
3251,New Jersey,NJ,Northeast,2017,F,Associate degree,5,3431,30.9,3205,No
3252,New Jersey,NJ,Northeast,2017,F,Bachelor's degree,6,12960,32.2,3229.2,No
3253,New Jersey,NJ,Northeast,2017,F,Master's degree,7,7569,33,3223.6,No
3254,New Jersey,NJ,Northeast,2017,F,Doctorate,8,1727,34.3,3219.9,No
3255,New Jersey,NJ,Northeast,2017,F,Not Stated,9,306,30.8,3137.1,No
3256,New Jersey,NJ,Northeast,2017,M,8th grade or less,1,2117,30.1,3328.2,No
3257,New Jersey,NJ,Northeast,2017,M,9th through 12th grade,2,3348,26.6,3219.8,No
3258,New Jersey,NJ,Northeast,2017,M,High school graduate,3,12002,28,3287.4,No
